sales_key,product_name,price,category_name,is_claim
12629,AirPods Max,1603.0,Audio,1
197312,MacBook Pro 14-inch,768.0,Laptop,0
634986,Apple Watch SE,1546.0,Wearable,0
8526,Apple TV HD,1258.0,Streaming Device,1
8280,iMac 24-inch,449.0,Desktop,1
995859,Smart Cover for iPad,1014.0,Accessories,0
14872,MagSafe Charger,1744.0,Accessories,1
15128,Smart Keyboard Folio,572.0,Accessories,1
9367,iMac with Retina Display,343.0,Desktop,1
636205,HomePod,1202.0,Smart Speaker,0
989043,Apple Watch Series 6,462.0,Wearable,0
21820,AirTag,677.0,Accessories,1
5027,MacBook Pro 16-inch,1179.0,Laptop,1
23429,iPhone 12 Pro,1342.0,Smartphone,1
127403,HomePod mini,266.0,Smart Speaker,0
26355,iPhone 14 Plus,1259.0,Smartphone,1
338318,Apple Watch Series 5,1296.0,Wearable,0
770337,Apple Fitness+,923.0,Subscription Service,0
20732,iPhone 13,623.0,Smartphone,1
189129,iMac 24-inch,449.0,Desktop,0
26065,AirPods Pro (2nd Generation),696.0,Audio,1
486407,AirPods (2nd Generation),504.0,Audio,0
29747,iPad Air (4th Generation),952.0,Tablet,1
14523,iPad Pro (M2),1826.0,Tablet,1
675233,Apple Arcade,549.0,Subscription Service,0
411929,Mac Mini,555.0,Desktop,0
19369,iPhone 12 Pro,1342.0,Smartphone,1
3804,Leather Case for iPhone,866.0,Accessories,1
294784,Magic Trackpad,1242.0,Accessories,0
14301,Apple Watch Series 6,462.0,Wearable,1
686320,iPhone 13 Pro Max,820.0,Smartphone,0
9009,MacBook Air (M2),1588.0,Laptop,1
212740,Apple Music,1965.0,Subscription Service,0
25225,Leather Case for iPhone,866.0,Accessories,1
641539,Beats Solo Pro,1773.0,Audio,0
619756,Beats Solo Pro,1773.0,Audio,0
411859,Magic Trackpad,1242.0,Accessories,0
26304,Apple TV (3rd Generation),477.0,Streaming Device,1
19459,Apple Watch SE,1546.0,Wearable,1
5370,MacBook Pro 16-inch,1179.0,Laptop,1
966448,Apple Fitness+,923.0,Subscription Service,0
25952,MacBook Air (Retina),1847.0,Laptop,1
194452,Beats Fit Pro,1839.0,Audio,0
794433,iPhone 12 Pro,1342.0,Smartphone,0
490291,MagSafe Battery Pack,1389.0,Accessories,0
2886,iPhone 12 mini,1607.0,Smartphone,1
162217,iPad Pro 12.9-inch,1167.0,Tablet,0
8967,Mac Pro (Tower),458.0,Desktop,1
208484,MagSafe Charger,1744.0,Accessories,0
10531,Apple Watch Hermès,1712.0,Wearable,1
94552,Apple News+,253.0,Subscription Service,0
274,Beats Powerbeats Pro,1060.0,Audio,1
19270,iPhone 14 Pro Max,678.0,Smartphone,1
744092,Smart Keyboard Folio,572.0,Accessories,0
10122,iMac 24-inch,449.0,Desktop,1
13291,iMac 24-inch,449.0,Desktop,1
